LABEL,SCORE_MEAN_Agricultural Livelihoods_Agricultural Jobs,SCORE_SE_Agricultural Livelihoods_Agricultural Jobs,SCORE_MEAN_Agricultural Livelihoods_Annual Wages,SCORE_SE_Agricultural Livelihoods_Annual Wages,SCORE_MEAN_Agricultural Livelihoods_Gross Production Value,SCORE_SE_Agricultural Livelihoods_Gross Production Value,SCORE_MEAN_Water Quality_Critical Pesticides,SCORE_SE_Water Quality_Critical Pesticides,SCORE_MEAN_Water Quality_Groundwater Contaminant,SCORE_SE_Water Quality_Groundwater Contaminant,SCORE_MEAN_Water Quality_Risk to Aquatic Organisms,SCORE_SE_Water Quality_Risk to Aquatic Organisms,SCORE_MEAN_Climate Change Resilience_Drought,SCORE_SE_Climate Change Resilience_Drought,SCORE_MEAN_Climate Change Resilience_Flood,SCORE_SE_Climate Change Resilience_Flood,SCORE_MEAN_Climate Change Resilience_Heat,SCORE_SE_Climate Change Resilience_Heat,SCORE_MEAN_Climate Change Resilience_Salinity,SCORE_SE_Climate Change Resilience_Salinity
Orchard - Deciduous Fruits & Nuts,' 5.10,'(0.79),'36.51,'(0.96),'12.62,'(1.11),' 1.09,'(0.02),' 0.10,'(0.02),' 6.20,'(0.42),' 1.90,'(0.20),' 5.11,'(0.17),' 3.12,'(0.27),' 1.00,'(  NA)
Orchard - Citrus & Subtropical,' 5.10,'(0.79),'36.51,'(0.96),' 7.07,'(0.54),' 2.82,'(0.32),' 0.67,'(0.16),' 5.25,'(0.68),' 2.62,'(0.26),' 3.00,'(0.19),' 2.14,'(0.18),' 8.00,'(  NA)
Vineyard,' 2.27,'(0.23),'36.39,'(1.26),'10.95,'(0.32),' 0.39,'(0.03),' 0.32,'(0.03),' 2.46,'(0.19),' 4.89,'(0.31),' 5.88,'(0.30),' 4.14,'(0.36),' 1.00,'(  NA)
Wheat,' 0.20,'(0.04),'40.99,'(1.47),' 1.18,'(0.09),' 0.02,'(0.01),' 0.00,'(  NA),' 0.02,'(0.00),' 8.10,'(0.22),' 4.12,'(0.25),' 8.25,'(0.26),' 8.00,'(  NA)
Other Grains,' 0.40,'(0.06),'37.42,'(3.29),' 1.12,'(0.10),' 0.01,'(0.00),' 0.00,'(  NA),' 0.01,'(0.01),' 8.10,'(0.22),' 4.12,'(0.25),' 8.25,'(0.26),' 8.00,'(  NA)
Corn,' 0.24,'(0.02),'37.39,'(1.49),' 2.65,'(0.13),' 0.58,'(0.06),' 0.03,'(0.01),' 0.60,'(0.04),' 5.70,'(0.23),' 4.75,'(0.30),' 7.29,'(0.30),' 3.00,'(  NA)
Other Field Crops,' 0.06,'(0.01),'37.97,'(1.69),' 2.96,'(0.12),' 0.69,'(0.17),' 0.00,'(0.00),' 1.15,'(0.16),' 4.89,'(0.31),' 3.78,'(0.24),' 4.62,'(0.23),' 8.00,'(  NA)
Row Crops,' 4.97,'(0.33),'37.08,'(2.05),'12.32,'(0.42),' 1.52,'(0.12),' 0.01,'(0.01),' 5.97,'(0.45),' 4.89,'(0.31),' 3.78,'(0.24),' 4.62,'(0.23),' 3.00,'(  NA)
Rice,' 1.44,'(0.18),'39.06,'(2.01),' 3.86,'(0.22),' 1.33,'(0.33),' 0.00,'(  NA),' 7.31,'(1.02),' 2.20,'(0.15),'10.00,'(0.00),' 6.38,'(0.25),' 8.00,'(  NA)
Alfalfa,' 0.63,'(0.06),'41.93,'(1.97),' 2.87,'(0.21),' 2.21,'(0.48),' 0.34,'(0.10),' 4.88,'(0.65),' 3.80,'(0.15),' 6.88,'(0.18),' 7.86,'(0.20),' 3.00,'(  NA)
Other Pasture,' 0.63,'(0.06),'41.93,'(1.97),' 0.67,'(0.04),' 0.00,'(0.00),' 0.00,'(  NA),' 0.04,'(0.01),' 6.00,'(0.21),' 7.10,'(0.22),' 8.60,'(0.21),' 3.00,'(  NA)
Idle,' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.05,'(0.01),' 0.01,'(0.00),' 0.13,'(0.03),'10.00,'(  NA),'10.00,'(  NA),'10.00,'(  NA),'10.00,'(  NA)
Grassland,' 0.00,'(  NA),' 0.00,'(  NA),' 0.06,'(0.00),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 7.58,'(0.19),' 9.09,'(0.12),' 9.10,'(0.20),' 3.00,'(  NA)
Urban,' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.03,'(0.01),' 0.03,'(0.01),' 0.04,'(0.02),' 5.00,'(  NA),' 1.00,'(  NA),' 5.00,'(  NA),'10.00,'(  NA)
Riparian,' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 5.08,'(0.12),' 9.09,'(0.12),' 8.10,'(0.22),' 4.00,'(  NA)
Managed Wetland,' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 2.33,'(0.14),'10.00,'(0.00),' 7.60,'(0.22),' 9.00,'(  NA)
Tidal Wetland,' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 5.00,'(  NA),'10.00,'(  NA),' 5.00,'(  NA),'10.00,'(  NA)
Other Wetland,' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 2.33,'(0.14),'10.00,'(0.00),' 7.60,'(0.22),' 9.00,'(  NA)
Woodland,' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 5.00,'(  NA),' 1.00,'(  NA),' 5.00,'(  NA),' 1.00,'(  NA)
Scrub,' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 5.00,'(  NA),' 1.00,'(  NA),' 5.00,'(  NA),' 1.00,'(  NA)
Barren,' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),' 0.00,'(  NA),'10.00,'(  NA),'10.00,'(  NA),'10.00,'(  NA),'10.00,'(  NA)
