rowname,zone,value_baseline,value_scenario,area_unit,net_change,species,scenario,change_pct
1,Contra Costa & Alameda,117893.65991423558,117557.57995984145,px,-336.07995439413935,ATFL,scenario1,-0.002850704224795704
1,Sacramento,119032.51776378043,127141.82930260524,px,8109.311538824812,ATFL,scenario1,0.06812685887160438
1,San Joaquin,392151.9990103841,416114.63129294664,px,23962.632282562554,ATFL,scenario1,0.06110547018256569
1,Solano,87791.87584706396,88329.07273044065,px,537.1968833766878,ATFL,scenario1,0.006118981718906435
1,Yolo,120198.7512017116,124846.55215733126,px,4647.800955619663,ATFL,scenario1,0.038667630979126844
2,Contra Costa & Alameda,91886.12312253565,90503.50237130374,px,-1382.6207512319088,BHGR,scenario1,-0.01504711162302605
2,Sacramento,129596.72943710908,144363.13655797765,px,14766.407120868564,BHGR,scenario1,0.11394120195011889
2,San Joaquin,284346.0233629234,313411.4472675547,px,29065.423904631287,BHGR,scenario1,0.10221849970285606
2,Solano,82312.39152630791,86951.90409865603,px,4639.512572348118,BHGR,scenario1,0.05636469171066765
2,Yolo,74853.27267523855,84212.71689053625,px,9359.444215297699,BHGR,scenario1,0.1250372078707228
3,Contra Costa & Alameda,105922.39768077433,106359.40914645419,px,437.01146567985415,COYE,scenario1,0.004125770141617318
3,Sacramento,110700.04065145552,117283.53796795756,px,6583.497316502035,COYE,scenario1,0.05947149863504113
3,San Joaquin,181911.7566763945,182776.49659626745,px,864.7399198729545,COYE,scenario1,0.004753623051484534
3,Solano,113766.87491045147,116769.81131602451,px,3002.9364055730402,COYE,scenario1,0.026395525129232218
3,Yolo,91543.61130298115,96799.74667386524,px,5256.135370884091,COYE,scenario1,0.057416736089729976
4,Contra Costa & Alameda,45912.007532171905,45704.0799783729,px,-207.92755379900336,LAZB,scenario1,-0.004528827315017806
4,Sacramento,38111.46658306569,41324.4428643696,px,3212.9762813039124,LAZB,scenario1,0.0843047137611743
4,San Joaquin,115861.4864471592,123167.86404326558,px,7306.37759610638,LAZB,scenario1,0.06306131416187717
4,Solano,33012.206521742046,33845.363534107804,px,833.1570123657584,LAZB,scenario1,0.025237846849680768
4,Yolo,31056.038963448256,34244.73822618276,px,3188.6992627345026,LAZB,scenario1,0.10267565887869592
5,Contra Costa & Alameda,65092.10625971854,65004.04969441146,px,-88.05656530708075,NUWO,scenario1,-0.0013527994463066481
5,Sacramento,81936.79463707656,89776.18550208956,px,7839.390865013003,NUWO,scenario1,0.09567607446368989
5,San Joaquin,234825.59629255906,257039.13564956933,px,22213.539357010275,NUWO,scenario1,0.09459590312009848
5,Solano,42738.929841922596,43412.040724741295,px,673.1108828186989,NUWO,scenario1,0.015749362122737212
5,Yolo,66577.62424012274,73967.26618451998,px,7389.641944397241,NUWO,scenario1,0.11099287529013244
6,Contra Costa & Alameda,287092.24189629033,287259.6204532031,px,167.3785569127649,SOSP,scenario1,5.83013166107181e-4
6,Sacramento,304960.5434700791,308649.9960397035,px,3689.452569624409,SOSP,scenario1,0.012098130884877559
6,San Joaquin,742048.15891077,735594.3196458584,px,-6453.8392649115995,SOSP,scenario1,-0.008697332090123362
6,Solano,241366.29692847095,244590.21858367138,px,3223.921655200422,SOSP,scenario1,0.013356966967744601
6,Yolo,233802.30381508358,241781.31477778032,px,7979.010962696746,SOSP,scenario1,0.034127169974370396
7,Contra Costa & Alameda,294749.1939415112,295736.40909120906,px,987.2151496978477,SPTO,scenario1,0.0033493396080117744
7,Sacramento,326088.3923900202,340130.2209135201,px,14041.828523499891,SPTO,scenario1,0.043061417858459274
7,San Joaquin,739160.1883168928,760878.5257313633,px,21718.3374144705,SPTO,scenario1,0.0293824501884014
7,Solano,145719.96073672455,148046.52566310763,px,2326.5649263830855,SPTO,scenario1,0.01596600022824973
7,Yolo,258354.80820764415,281493.5698567666,px,23138.76164912246,SPTO,scenario1,0.08956195477703456
8,Contra Costa & Alameda,14349.758364785463,14338.747329097241,px,-11.011035688221455,YBCH,scenario1,-7.673324810292773e-4
8,Sacramento,16829.783982915804,17078.054119404405,px,248.27013648860157,YBCH,scenario1,0.014751831440060356
8,San Joaquin,58344.886816697195,57154.788603881374,px,-1190.0982128158212,YBCH,scenario1,-0.02039764369677786
8,Solano,12722.429644124582,12742.044851073995,px,19.615206949412823,YBCH,scenario1,0.0015417815227197135
8,Yolo,8823.966050637886,7621.988747956231,px,-1201.9773026816547,YBCH,scenario1,-0.1362173534875243
9,Contra Costa & Alameda,33649.60266391188,33920.70344263129,px,271.1007787194103,YEWA,scenario1,0.008056581868948996
9,Sacramento,32167.55800514482,34657.885473119095,px,2490.3274679742754,YEWA,scenario1,0.0774173615409655
9,San Joaquin,79803.6489445027,80245.2830253914,px,441.63408088870347,YEWA,scenario1,0.005534008616521107
9,Solano,36651.47432940453,36938.56020515412,px,287.085875749588,YEWA,scenario1,0.00783286023283561
9,Yolo,28853.71851530671,28751.03148301877,px,-102.68703228794038,YEWA,scenario1,-0.0035588838309857907
10,Contra Costa & Alameda,117893.65991423558,117761.03207406588,px,-132.62784016970545,ATFL,scenario2,-0.0011249785634459782
10,Sacramento,119032.51776378043,113020.43690985907,px,-6012.080853921361,ATFL,scenario2,-0.050507886137906556
10,San Joaquin,392151.9990103841,382995.78534433246,px,-9156.213666051626,ATFL,scenario2,-0.023348634430419343
10,Solano,87791.87584706396,86629.33044618927,px,-1162.5454008746892,ATFL,scenario2,-0.013242061291637937
10,Yolo,120198.7512017116,114860.75522132963,px,-5337.995980381966,ATFL,scenario2,-0.04440974575038641
11,Contra Costa & Alameda,91886.12312253565,91685.3280145526,px,-200.79510798305273,BHGR,scenario2,-0.0021852604197402084
11,Sacramento,129596.72943710908,125121.89829479158,px,-4474.831142317504,BHGR,scenario2,-0.034528889438441096
11,San Joaquin,284346.0233629234,279227.75252452865,px,-5118.270838394761,BHGR,scenario2,-0.01800014917691353
11,Solano,82312.39152630791,81289.96434123814,px,-1022.4271850697696,BHGR,scenario2,-0.012421303355558452
11,Yolo,74853.27267523855,71317.42417659238,px,-3535.84849864617,BHGR,scenario2,-0.047237059546974595
12,Contra Costa & Alameda,105922.39768077433,103986.23275525123,px,-1936.1649255231023,COYE,scenario2,-0.01827908891713589
12,Sacramento,110700.04065145552,105976.71569736674,px,-4723.324954088777,COYE,scenario2,-0.042667779761349826
12,San Joaquin,181911.7566763945,163473.70995819196,px,-18438.04671820253,COYE,scenario2,-0.10135709233462159
12,Solano,113766.87491045147,111895.77742213011,px,-1871.097488321364,COYE,scenario2,-0.016446768796226037
12,Yolo,91543.61130298115,87333.6284426041,px,-4209.982860377058,COYE,scenario2,-0.04598882216305966
13,Contra Costa & Alameda,45912.007532171905,45920.88537220284,px,8.877840030938387,LAZB,scenario2,1.9336640909717182e-4
13,Sacramento,38111.46658306569,36664.480322025716,px,-1446.9862610399723,LAZB,scenario2,-0.03796721540185811
13,San Joaquin,115861.4864471592,113099.83088063449,px,-2761.6555665247142,LAZB,scenario2,-0.02383583752642617
13,Solano,33012.206521742046,32723.32525548339,px,-288.881266258657,LAZB,scenario2,-0.008750740913619269
13,Yolo,31056.038963448256,30330.160307094455,px,-725.8786563538015,LAZB,scenario2,-0.023373188615848025
14,Contra Costa & Alameda,65092.10625971854,65043.834896460176,px,-48.271363258361816,NUWO,scenario2,-7.415855167715469e-4
14,Sacramento,81936.79463707656,77801.04774068668,px,-4135.746896389872,NUWO,scenario2,-0.05047484362438604
14,San Joaquin,234825.59629255906,228959.28415863588,px,-5866.312133923173,NUWO,scenario2,-0.024981570265511382
14,Solano,42738.929841922596,42193.28815417923,px,-545.6416877433658,NUWO,scenario2,-0.01276685424182395
14,Yolo,66577.62424012274,63059.40300543606,px,-3518.2212346866727,NUWO,scenario2,-0.052843898754897756
15,Contra Costa & Alameda,287092.24189629033,287080.76658820175,px,-11.475308088585734,SOSP,scenario2,-3.99708052463887e-5
15,Sacramento,304960.5434700791,298817.7431512587,px,-6142.800318820402,SOSP,scenario2,-0.020142934718448576
15,San Joaquin,742048.15891077,745367.6847466826,px,3319.5258359126747,SOSP,scenario2,0.004473464149261291
15,Solano,241366.29692847095,239889.28114934824,px,-1477.0157791227102,SOSP,scenario2,-0.006119395283925762
15,Yolo,233802.30381508358,232363.31883254554,px,-1438.984982538037,SOSP,scenario2,-0.006154708311497835
16,Contra Costa & Alameda,294749.1939415112,301456.0177913355,px,6706.823849824257,SPTO,scenario2,0.022754341615451985
16,Sacramento,326088.3923900202,344986.9177314341,px,18898.525341413915,SPTO,scenario2,0.05795522251773442
16,San Joaquin,739160.1883168928,900609.3673490658,px,161449.179032173,SPTO,scenario2,0.21842244967197355
16,Solano,145719.96073672455,159213.0556534417,px,13493.09491671715,SPTO,scenario2,0.09259606472922004
16,Yolo,258354.80820764415,283306.2183483159,px,24951.410140671767,SPTO,scenario2,0.096578075375388
17,Contra Costa & Alameda,14349.758364785463,14236.578852859326,px,-113.17951192613691,YBCH,scenario2,-0.007887206812059027
17,Sacramento,16829.783982915804,16105.02338530682,px,-724.7605976089835,YBCH,scenario2,-0.04306416519336791
17,San Joaquin,58344.886816697195,48292.783901071176,px,-10052.10291562602,YBCH,scenario2,-0.17228764102682773
17,Solano,12722.429644124582,11890.01723279152,px,-832.4124113330618,YBCH,scenario2,-0.06542872978020223
17,Yolo,8823.966050637886,8076.631268923171,px,-747.3347817147151,YBCH,scenario2,-0.0846937507948243
18,Contra Costa & Alameda,33649.60266391188,33618.359919033945,px,-31.242744877934456,YEWA,scenario2,-9.284729210618971e-4
18,Sacramento,32167.55800514482,32355.685335913673,px,188.12733076885343,YEWA,scenario2,0.005848355997019254
18,San Joaquin,79803.6489445027,79353.26761143841,px,-450.3813330642879,YEWA,scenario2,-0.005643618293412793
18,Solano,36651.47432940453,36456.34015927836,px,-195.13417012616992,YEWA,scenario2,-0.005324046950264666
18,Yolo,28853.71851530671,28549.99659020081,px,-303.7219251058996,YEWA,scenario2,-0.010526266309306963
