METRIC_CATEGORY,METRIC,UNIT,CODE_NAME,LABEL,SCORE_MEAN,SCORE_SE
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,0.05098351830054537,0.007932300491896178
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,0.05098351830054537,0.007932300491896178
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,VINEYARD,Vineyard,0.02269056648746179,0.002259764552414
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,GRAIN&HAY_WHEAT,Wheat,0.001967880365152875,3.57258631427393e-4
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,GRAIN&HAY_OTHER,Other Grains,0.0039506997467660485,5.513717044380067e-4
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,FIELD_CORN,Corn,0.0024409219407038134,2.2833241654319982e-4
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,FIELD_OTHER,Other Field Crops,5.747606936795885e-4,7.40336150950513e-5
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,ROW,Row Crops,0.049696455553818734,0.0033294730163744304
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,RICE,Rice,0.014404298868204869,0.001806636370717224
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,IDLE,Idle,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,PASTURE_ALFALFA,Alfalfa,0.006340739337371615,0.00062298051766420965
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,PASTURE_OTHER,Other Pasture,0.006340739337371615,0.00062298051766420965
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,GRASSLAND,Grassland,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,URBAN,Urban,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,RIPARIAN,Riparian,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,RIPARIAN_FOREST_POFR,Riparian - Cottonwood,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,RIPARIAN_FOREST_SALIX,Riparian - Willow,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,WETLAND_MANAGED,Managed Wetland,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,WETLAND_TIDAL,Tidal Wetland,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,WETLAND_OTHER,Other Wetland,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,WATER,Water,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,WOODLAND,Woodland,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,SCRUB,Scrub,0,NA
Agricultural Livelihoods,Agricultural Jobs,FTE/ha/yr,BARREN,Barren,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,36.50889484346645,0.9618956600014572
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,36.50889484346645,0.9618956600014572
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",VINEYARD,Vineyard,36.39096978233102,1.2559914721629224
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",GRAIN&HAY_WHEAT,Wheat,40.98530116550116,1.4748488412900669
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",GRAIN&HAY_OTHER,Other Grains,37.42158277591973,3.289852006688965
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",FIELD_CORN,Corn,37.39493255977689,1.4903331045427175
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",FIELD_OTHER,Other Field Crops,37.96504495614035,1.692413670145488
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",ROW,Row Crops,37.08176093191373,2.051770126373111
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",RICE,Rice,39.0624739007644,2.01383613106825
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",IDLE,Idle,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",PASTURE_ALFALFA,Alfalfa,41.92507514821096,1.9689476498135667
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",PASTURE_OTHER,Other Pasture,41.92507514821096,1.9689476498135667
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",GRASSLAND,Grassland,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",URBAN,Urban,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",RIPARIAN,Riparian,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",RIPARIAN_FOREST_POFR,Riparian - Cottonwood,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",RIPARIAN_FOREST_QULO,Riparian - Valley Oak,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",RIPARIAN_FOREST_SALIX,Riparian - Willow,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",WETLAND_MANAGED,Managed Wetland,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",WETLAND_TIDAL,Tidal Wetland,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",WETLAND_OTHER,Other Wetland,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",WATER,Water,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",WOODLAND,Woodland,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",SCRUB,Scrub,0,NA
Agricultural Livelihoods,Annual Wages,"USD/FTE, thousands",BARREN,Barren,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,12.615897788431353,1.1104016915400174
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,7.066044346012426,0.5373536645776471
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",VINEYARD,Vineyard,10.950634344163827,0.3248047923189947
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",GRAIN&HAY_WHEAT,Wheat,1.1839350142764065,0.08603222577132909
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",GRAIN&HAY_OTHER,Other Grains,1.123179045711329,0.09524208243448472
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",FIELD_CORN,Corn,2.651030563544446,0.13152112949435424
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",FIELD_OTHER,Other Field Crops,2.9589192005010987,0.1207121793843009
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",ROW,Row Crops,12.317814252114289,0.4197179810584379
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",RICE,Rice,3.8620398618464353,0.2173547939487749
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",IDLE,Idle,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",PASTURE_ALFALFA,Alfalfa,2.874550635573503,0.21293849227502393
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",PASTURE_OTHER,Other Pasture,0.6731033771752637,0.04203638167261972
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",GRASSLAND,Grassland,0.06035955750151726,0.00190468193323193
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",URBAN,Urban,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",RIPARIAN,Riparian,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",RIPARIAN_FOREST_POFR,Riparian - Cottonwood,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",RIPARIAN_FOREST_QULO,Riparian - Valley Oak,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",RIPARIAN_FOREST_SALIX,Riparian - Willow,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",WETLAND_MANAGED,Managed Wetland,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",WETLAND_TIDAL,Tidal Wetland,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",WETLAND_OTHER,Other Wetland,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",WATER,Water,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",WOODLAND,Woodland,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",SCRUB,Scrub,0,NA
Agricultural Livelihoods,Gross Production Value,"USD/ha/yr, millions",BARREN,Barren,0,NA
Climate Change Resilience,Drought,"qualitative score, 1-10",ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,1.9,0.2
Climate Change Resilience,Drought,"qualitative score, 1-10",ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,2.625,0.2630521404045756
Climate Change Resilience,Drought,"qualitative score, 1-10",VINEYARD,Vineyard,4.888888888888889,0.30932024237944566
Climate Change Resilience,Drought,"qualitative score, 1-10",GRAIN&HAY_WHEAT,Wheat,8.1,0.22110831935702663
Climate Change Resilience,Drought,"qualitative score, 1-10",GRAIN&HAY_OTHER,Other Grains,8.1,0.22110831935702663
Climate Change Resilience,Drought,"qualitative score, 1-10",FIELD_CORN,Corn,5.7,0.2333333333333333
Climate Change Resilience,Drought,"qualitative score, 1-10",FIELD_OTHER,Other Field Crops,4.888888888888889,0.30932024237944566
Climate Change Resilience,Drought,"qualitative score, 1-10",ROW,Row Crops,4.888888888888889,0.30932024237944566
Climate Change Resilience,Drought,"qualitative score, 1-10",RICE,Rice,2.2,0.15275252316519466
Climate Change Resilience,Drought,"qualitative score, 1-10",IDLE,Idle,10,NA
Climate Change Resilience,Drought,"qualitative score, 1-10",PASTURE_ALFALFA,Alfalfa,3.8,0.15275252316519466
Climate Change Resilience,Drought,"qualitative score, 1-10",PASTURE_OTHER,Other Pasture,6,0.20719385350268704
Climate Change Resilience,Drought,"qualitative score, 1-10",GRASSLAND,Grassland,7.583333333333333,0.19462473604038075
Climate Change Resilience,Drought,"qualitative score, 1-10",URBAN,Urban,5,NA
Climate Change Resilience,Drought,"qualitative score, 1-10",RIPARIAN,Riparian,5.083333333333333,0.12309149097933274
Climate Change Resilience,Drought,"qualitative score, 1-10",RIPARIAN_FOREST_POFR,Riparian - Cottonwood,6,NA
Climate Change Resilience,Drought,"qualitative score, 1-10",RIPARIAN_FOREST_QULO,Riparian - Valley Oak,6,NA
Climate Change Resilience,Drought,"qualitative score, 1-10",RIPARIAN_FOREST_SALIX,Riparian - Willow,4,2
Climate Change Resilience,Drought,"qualitative score, 1-10",RIPARIAN_FOREST_MIXED,Riparian - Mixed Forest,5.6,1.32664991614216
Climate Change Resilience,Drought,"qualitative score, 1-10",RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,8,1.7320508075688772
Climate Change Resilience,Drought,"qualitative score, 1-10",RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,4,1.1547005383792517
Climate Change Resilience,Drought,"qualitative score, 1-10",RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,6,0
Climate Change Resilience,Drought,"qualitative score, 1-10",WETLAND_MANAGED,Managed Wetland,2.3333333333333335,0.1421338109037403
Climate Change Resilience,Drought,"qualitative score, 1-10",WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,2.3333333333333335,0.1421338109037403
Climate Change Resilience,Drought,"qualitative score, 1-10",WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,2.3333333333333335,0.1421338109037403
Climate Change Resilience,Drought,"qualitative score, 1-10",WETLAND_TIDAL,Tidal Wetland,5,NA
Climate Change Resilience,Drought,"qualitative score, 1-10",WETLAND_OTHER,Other Wetland,2.3333333333333335,0.1421338109037403
Climate Change Resilience,Drought,"qualitative score, 1-10",WOODLAND,Woodland,5,NA
Climate Change Resilience,Drought,"qualitative score, 1-10",SCRUB,Scrub,5,NA
Climate Change Resilience,Drought,"qualitative score, 1-10",BARREN,Barren,10,NA
Climate Change Resilience,Flood,"qualitative score, 1-10",ORCHARD_DECIDUOUS,Orchard - Deciduous Fruits & Nuts,5.111111111111111,0.16666666666666666
Climate Change Resilience,Flood,"qualitative score, 1-10",ORCHARD_CITRUS&SUBTROPICAL,Orchard - Citrus & Subtropical,3,0.1889822365046136
Climate Change Resilience,Flood,"qualitative score, 1-10",VINEYARD,Vineyard,5.875,0.29504842217604116
Climate Change Resilience,Flood,"qualitative score, 1-10",GRAIN&HAY_WHEAT,Wheat,4.125,0.25
Climate Change Resilience,Flood,"qualitative score, 1-10",GRAIN&HAY_OTHER,Other Grains,4.125,0.25
Climate Change Resilience,Flood,"qualitative score, 1-10",FIELD_CORN,Corn,4.75,0.29504842217604116
Climate Change Resilience,Flood,"qualitative score, 1-10",FIELD_OTHER,Other Field Crops,3.7777777777777777,0.23570226039551587
