METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SCORE_MEAN,SCORE_SE,SCORE_MIN,SCORE_MAX,UNIT,LABEL
Agricultural Livelihoods,livelihoods,Agricultural Jobs,ORCHARD_DECIDUOUS,5.098351830054537,0.7932300491896178,1.1353817759421787,15.402208672086722,number of employees per 100ha,Orchard - Deciduous Fruits & Nuts
Agricultural Livelihoods,livelihoods,Agricultural Jobs,ORCHARD_CITRUS&SUBTROPICAL,5.098351830054537,0.7932300491896178,1.1353817759421787,15.402208672086722,number of employees per 100ha,Orchard - Citrus & Subtropical
Agricultural Livelihoods,livelihoods,Agricultural Jobs,VINEYARD,2.269056648746179,0.2259764552414,0.49421,4.447889999999999,number of employees per 100ha,Vineyard
Agricultural Livelihoods,livelihoods,Agricultural Jobs,GRAIN&HAY_WHEAT,0.19678803651528748,0.0357258631427393,0.1313118357487923,0.36698762376237626,number of employees per 100ha,Wheat
Agricultural Livelihoods,livelihoods,Agricultural Jobs,GRAIN&HAY_OTHER,0.3950699746766049,0.05513717044380067,0.3399328042328042,0.4502071451204055,number of employees per 100ha,Other Grains
Agricultural Livelihoods,livelihoods,Agricultural Jobs,FIELD_CORN,0.24409219407038135,0.02283324165431998,0.08920758122743681,0.3927496688741722,number of employees per 100ha,Corn
Agricultural Livelihoods,livelihoods,Agricultural Jobs,FIELD_OTHER,0.05747606936795885,0.00740336150950513,0.04560334827313472,0.07886329787234041,number of employees per 100ha,Other Field Crops
Agricultural Livelihoods,livelihoods,Agricultural Jobs,ROW,4.969645555381874,0.332947301637443,2.6177066061323857,7.060975814063237,number of employees per 100ha,Row Crops
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RICE,1.4404298868204868,0.1806636370717224,0.3365788876276958,2.617311526479751,number of employees per 100ha,Rice
Agricultural Livelihoods,livelihoods,Agricultural Jobs,IDLE,0,NA,NA,NA,number of employees per 100ha,Idle
Agricultural Livelihoods,livelihoods,Agricultural Jobs,PASTURE_ALFALFA,0.6340739337371615,0.06229805176642096,0.28930593026215323,1.1929206896551725,number of employees per 100ha,Alfalfa
Agricultural Livelihoods,livelihoods,Agricultural Jobs,PASTURE_OTHER,0.6340739337371615,0.06229805176642096,0.28930593026215323,1.1929206896551725,number of employees per 100ha,Other Pasture
Agricultural Livelihoods,livelihoods,Agricultural Jobs,GRASSLAND,0,NA,NA,NA,number of employees per 100ha,Grassland
Agricultural Livelihoods,livelihoods,Agricultural Jobs,URBAN,0,NA,NA,NA,number of employees per 100ha,Urban
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN,0,NA,NA,NA,number of employees per 100ha,Riparian
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_FOREST_POFR,0,NA,NA,NA,number of employees per 100ha,Riparian - Cottonwood
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_FOREST_QULO,0,NA,NA,NA,number of employees per 100ha,Riparian - Valley Oak
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_FOREST_SALIX,0,NA,NA,NA,number of employees per 100ha,Riparian - Willow
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_FOREST_MIXED,0,NA,NA,NA,number of employees per 100ha,Riparian - Mixed Forest
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_SCRUB_INTRO,0,NA,NA,NA,number of employees per 100ha,Riparian - Introduced Scrub
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_SCRUB_SALIX,0,NA,NA,NA,number of employees per 100ha,Riparian - Willow Shrub
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_SCRUB_MIXED,0,NA,NA,NA,number of employees per 100ha,Riparian - Mixed Shrub
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WETLAND_MANAGED,0,NA,NA,NA,number of employees per 100ha,Managed Wetland
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WETLAND_MANAGED_PERENNIAL,0,NA,NA,NA,number of employees per 100ha,Managed Wetland - Perennial
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WETLAND_MANAGED_SEASONAL,0,NA,NA,NA,number of employees per 100ha,Managed Wetland - Seasonal
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WETLAND_TIDAL,0,NA,NA,NA,number of employees per 100ha,Tidal Wetland
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WETLAND_OTHER,0,NA,NA,NA,number of employees per 100ha,Other Wetland
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WATER,0,NA,NA,NA,number of employees per 100ha,Water
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WOODLAND,0,NA,NA,NA,number of employees per 100ha,Woodland
Agricultural Livelihoods,livelihoods,Agricultural Jobs,SCRUB,0,NA,NA,NA,number of employees per 100ha,Scrub
Agricultural Livelihoods,livelihoods,Agricultural Jobs,BARREN,0,NA,NA,NA,number of employees per 100ha,Barren
Agricultural Livelihoods,livelihoods,Annual Wages,ORCHARD_DECIDUOUS,36.50889484346645,0.9618956600014572,20.975964285714287,46.150803636363634,annual dollars per employee (thousands),Orchard - Deciduous Fruits & Nuts
Agricultural Livelihoods,livelihoods,Annual Wages,ORCHARD_CITRUS&SUBTROPICAL,36.50889484346645,0.9618956600014572,20.975964285714287,46.150803636363634,annual dollars per employee (thousands),Orchard - Citrus & Subtropical
Agricultural Livelihoods,livelihoods,Annual Wages,VINEYARD,36.39096978233102,1.2559914721629224,22.39183333333333,58.65125,annual dollars per employee (thousands),Vineyard
Agricultural Livelihoods,livelihoods,Annual Wages,GRAIN&HAY_WHEAT,40.98530116550116,1.4748488412900669,35.943333333333335,46.6458,annual dollars per employee (thousands),Wheat
Agricultural Livelihoods,livelihoods,Annual Wages,GRAIN&HAY_OTHER,37.42158277591973,3.289852006688965,34.131730769230764,40.7114347826087,annual dollars per employee (thousands),Other Grains
Agricultural Livelihoods,livelihoods,Annual Wages,FIELD_CORN,37.39493255977689,1.4903331045427175,26.40893442622951,46.9306,annual dollars per employee (thousands),Corn
Agricultural Livelihoods,livelihoods,Annual Wages,FIELD_OTHER,37.96504495614035,1.692413670145488,32.95126315789474,40.3135,annual dollars per employee (thousands),Other Field Crops
Agricultural Livelihoods,livelihoods,Annual Wages,ROW,37.08176093191373,2.051770126373111,27.333246913580247,53.56251386321626,annual dollars per employee (thousands),Row Crops
Agricultural Livelihoods,livelihoods,Annual Wages,RICE,39.0624739007644,2.01383613106825,29.1012,49.33122556390977,annual dollars per employee (thousands),Rice
Agricultural Livelihoods,livelihoods,Annual Wages,IDLE,0,NA,NA,NA,annual dollars per employee (thousands),Idle
Agricultural Livelihoods,livelihoods,Annual Wages,PASTURE_ALFALFA,41.92507514821096,1.9689476498135667,26.015711864406786,55.36227350427351,annual dollars per employee (thousands),Alfalfa
Agricultural Livelihoods,livelihoods,Annual Wages,PASTURE_OTHER,41.92507514821096,1.9689476498135667,26.015711864406786,55.36227350427351,annual dollars per employee (thousands),Other Pasture
Agricultural Livelihoods,livelihoods,Annual Wages,GRASSLAND,0,NA,NA,NA,annual dollars per employee (thousands),Grassland
Agricultural Livelihoods,livelihoods,Annual Wages,URBAN,0,NA,NA,NA,annual dollars per employee (thousands),Urban
Agricultural Livelihoods,livelihoods,Annual Wages,RIPARIAN,0,NA,NA,NA,annual dollars per employee (thousands),Riparian
Agricultural Livelihoods,livelihoods,Annual Wages,RIPARIAN_FOREST_POFR,0,NA,NA,NA,annual dollars per employee (thousands),Riparian - Cottonwood
Agricultural Livelihoods,livelihoods,Annual Wages,RIPARIAN_FOREST_QULO,0,NA,NA,NA,annual dollars per employee (thousands),Riparian - Valley Oak
Agricultural Livelihoods,livelihoods,Annual Wages,RIPARIAN_FOREST_SALIX,0,NA,NA,NA,annual dollars per employee (thousands),Riparian - Willow
Agricultural Livelihoods,livelihoods,Annual Wages,RIPARIAN_FOREST_MIXED,0,NA,NA,NA,annual dollars per employee (thousands),Riparian - Mixed Forest
Agricultural Livelihoods,livelihoods,Annual Wages,RIPARIAN_SCRUB_INTRO,0,NA,NA,NA,annual dollars per employee (thousands),Riparian - Introduced Scrub
Agricultural Livelihoods,livelihoods,Annual Wages,RIPARIAN_SCRUB_SALIX,0,NA,NA,NA,annual dollars per employee (thousands),Riparian - Willow Shrub
Agricultural Livelihoods,livelihoods,Annual Wages,RIPARIAN_SCRUB_MIXED,0,NA,NA,NA,annual dollars per employee (thousands),Riparian - Mixed Shrub
Agricultural Livelihoods,livelihoods,Annual Wages,WETLAND_MANAGED,0,NA,NA,NA,annual dollars per employee (thousands),Managed Wetland
Agricultural Livelihoods,livelihoods,Annual Wages,WETLAND_MANAGED_PERENNIAL,0,NA,NA,NA,annual dollars per employee (thousands),Managed Wetland - Perennial
Agricultural Livelihoods,livelihoods,Annual Wages,WETLAND_MANAGED_SEASONAL,0,NA,NA,NA,annual dollars per employee (thousands),Managed Wetland - Seasonal
Agricultural Livelihoods,livelihoods,Annual Wages,WETLAND_TIDAL,0,NA,NA,NA,annual dollars per employee (thousands),Tidal Wetland
Agricultural Livelihoods,livelihoods,Annual Wages,WETLAND_OTHER,0,NA,NA,NA,annual dollars per employee (thousands),Other Wetland
Agricultural Livelihoods,livelihoods,Annual Wages,WATER,0,NA,NA,NA,annual dollars per employee (thousands),Water
Agricultural Livelihoods,livelihoods,Annual Wages,WOODLAND,0,NA,NA,NA,annual dollars per employee (thousands),Woodland
Agricultural Livelihoods,livelihoods,Annual Wages,SCRUB,0,NA,NA,NA,annual dollars per employee (thousands),Scrub
Agricultural Livelihoods,livelihoods,Annual Wages,BARREN,0,NA,NA,NA,annual dollars per employee (thousands),Barren
Agricultural Livelihoods,production value,Gross Production Value,ORCHARD_DECIDUOUS,12.615897788431353,1.1104016915400174,10.302403476203867,18.619296289877127,USD per ha per year (millions),Orchard - Deciduous Fruits & Nuts
Agricultural Livelihoods,production value,Gross Production Value,ORCHARD_CITRUS&SUBTROPICAL,7.066044346012426,0.5373536645776471,5.020954467584818,8.69592356090492,USD per ha per year (millions),Orchard - Citrus & Subtropical
Agricultural Livelihoods,production value,Gross Production Value,VINEYARD,10.950634344163827,0.3248047923189947,9.509488874882344,11.860448457233437,USD per ha per year (millions),Vineyard
Agricultural Livelihoods,production value,Gross Production Value,GRAIN&HAY_WHEAT,1.1839350142764065,0.08603222577132909,0.8934354968396295,1.550341775724157,USD per ha per year (millions),Wheat
Agricultural Livelihoods,production value,Gross Production Value,GRAIN&HAY_OTHER,1.123179045711329,0.09524208243448472,0.6930788828979741,1.420998457334077,USD per ha per year (millions),Other Grains
Agricultural Livelihoods,production value,Gross Production Value,FIELD_CORN,2.651030563544446,0.13152112949435424,2.310073312134482,3.31644962749874,USD per ha per year (millions),Corn
Agricultural Livelihoods,production value,Gross Production Value,FIELD_OTHER,2.9589192005010987,0.1207121793843009,2.513160944619793,3.538770561418879,USD per ha per year (millions),Other Field Crops
Agricultural Livelihoods,production value,Gross Production Value,ROW,12.317814252114289,0.4197179810584379,11.081324771767443,14.594223090926638,USD per ha per year (millions),Row Crops
Agricultural Livelihoods,production value,Gross Production Value,RICE,3.8620398618464353,0.2173547939487749,2.802236191641182,4.435460074088517,USD per ha per year (millions),Rice
Agricultural Livelihoods,production value,Gross Production Value,IDLE,0,NA,NA,NA,USD per ha per year (millions),Idle
Agricultural Livelihoods,production value,Gross Production Value,PASTURE_ALFALFA,2.874550635573503,0.21293849227502393,2.027793198910291,3.9181917915298063,USD per ha per year (millions),Alfalfa
Agricultural Livelihoods,production value,Gross Production Value,PASTURE_OTHER,0.6731033771752637,0.04203638167261972,0.5363959876875906,0.8164666245916246,USD per ha per year (millions),Other Pasture
Agricultural Livelihoods,production value,Gross Production Value,GRASSLAND,0.06035955750151726,0.00190468193323193,0.05248343158277303,0.0686674857719512,USD per ha per year (millions),Grassland
Agricultural Livelihoods,production value,Gross Production Value,URBAN,0,NA,NA,NA,USD per ha per year (millions),Urban
Agricultural Livelihoods,production value,Gross Production Value,RIPARIAN,0,NA,NA,NA,USD per ha per year (millions),Riparian
Agricultural Livelihoods,production value,Gross Production Value,RIPARIAN_FOREST_POFR,0,NA,NA,NA,USD per ha per year (millions),Riparian - Cottonwood
Agricultural Livelihoods,production value,Gross Production Value,RIPARIAN_FOREST_QULO,0,NA,NA,NA,USD per ha per year (millions),Riparian - Valley Oak
Agricultural Livelihoods,production value,Gross Production Value,RIPARIAN_FOREST_SALIX,0,NA,NA,NA,USD per ha per year (millions),Riparian - Willow
Agricultural Livelihoods,production value,Gross Production Value,RIPARIAN_FOREST_MIXED,0,NA,NA,NA,USD per ha per year (millions),Riparian - Mixed Forest
Agricultural Livelihoods,production value,Gross Production Value,RIPARIAN_SCRUB_INTRO,0,NA,NA,NA,USD per ha per year (millions),Riparian - Introduced Scrub
Agricultural Livelihoods,production value,Gross Production Value,RIPARIAN_SCRUB_SALIX,0,NA,NA,NA,USD per ha per year (millions),Riparian - Willow Shrub
Agricultural Livelihoods,production value,Gross Production Value,RIPARIAN_SCRUB_MIXED,0,NA,NA,NA,USD per ha per year (millions),Riparian - Mixed Shrub
Agricultural Livelihoods,production value,Gross Production Value,WETLAND_MANAGED,0,NA,NA,NA,USD per ha per year (millions),Managed Wetland
Agricultural Livelihoods,production value,Gross Production Value,WETLAND_MANAGED_PERENNIAL,0,NA,NA,NA,USD per ha per year (millions),Managed Wetland - Perennial
Agricultural Livelihoods,production value,Gross Production Value,WETLAND_MANAGED_SEASONAL,0,NA,NA,NA,USD per ha per year (millions),Managed Wetland - Seasonal
Agricultural Livelihoods,production value,Gross Production Value,WETLAND_TIDAL,0,NA,NA,NA,USD per ha per year (millions),Tidal Wetland
Agricultural Livelihoods,production value,Gross Production Value,WETLAND_OTHER,0,NA,NA,NA,USD per ha per year (millions),Other Wetland
Agricultural Livelihoods,production value,Gross Production Value,WATER,0,NA,NA,NA,USD per ha per year (millions),Water
Agricultural Livelihoods,production value,Gross Production Value,WOODLAND,0,NA,NA,NA,USD per ha per year (millions),Woodland
Agricultural Livelihoods,production value,Gross Production Value,SCRUB,0,NA,NA,NA,USD per ha per year (millions),Scrub
Agricultural Livelihoods,production value,Gross Production Value,BARREN,0,NA,NA,NA,USD per ha per year (millions),Barren
Water Quality,pesticide application rate,Critical Pesticides,ORCHARD_DECIDUOUS,1.0856725657725022,0.017241285635755,1.038118929453965,1.1413163048273685,kg per ha,Orchard - Deciduous Fruits & Nuts
Water Quality,pesticide application rate,Critical Pesticides,ORCHARD_CITRUS&SUBTROPICAL,2.8220488450093644,0.3235840361499295,1.9501925556810555,3.8723019900114566,kg per ha,Orchard - Citrus & Subtropical
Water Quality,pesticide application rate,Critical Pesticides,VINEYARD,0.388026774905255,0.03224041603197426,0.28108622586192467,0.4675288818414653,kg per ha,Vineyard
Water Quality,pesticide application rate,Critical Pesticides,GRAIN&HAY_WHEAT,0.01501791344065551,0.00552504079690417,0.00144482548608362,0.02678500065733782,kg per ha,Wheat
Water Quality,pesticide application rate,Critical Pesticides,GRAIN&HAY_OTHER,0.00639798410235488,0.00284548771407537,3.4630845697333e-4,0.01521096201314174,kg per ha,Other Grains
Water Quality,pesticide application rate,Critical Pesticides,FIELD_CORN,0.579622664836537,0.06458417031529763,0.39487629716572703,0.7773534540399467,kg per ha,Corn
Water Quality,pesticide application rate,Critical Pesticides,FIELD_OTHER,0.6859325375013596,0.165080401984823,0.2327005105064519,1.0537484828906922,kg per ha,Other Field Crops
Water Quality,pesticide application rate,Critical Pesticides,ROW,1.5214991765883048,0.12248271819121012,1.192519444121762,1.9520261854815424,kg per ha,Row Crops
Water Quality,pesticide application rate,Critical Pesticides,RICE,1.332864607084957,0.3333075750452675,0.28843143606694654,1.9756141006059131,kg per ha,Rice
Water Quality,pesticide application rate,Critical Pesticides,IDLE,0.04923761631271479,0.01481685444041195,5.389525602121601e-4,0.08093355349638347,kg per ha,Idle
Water Quality,pesticide application rate,Critical Pesticides,PASTURE_ALFALFA,2.2098613610297337,0.481163820209236,1.0814328459271576,3.912365293386693,kg per ha,Alfalfa
Water Quality,pesticide application rate,Critical Pesticides,PASTURE_OTHER,2.0605059855408989e-4,7.986730233063945e-5,4.688962758370789e-5,4.065994800518919e-4,kg per ha,Other Pasture
Water Quality,pesticide application rate,Critical Pesticides,GRASSLAND,0,NA,NA,NA,kg per ha,Grassland
Water Quality,pesticide application rate,Critical Pesticides,URBAN,0.02562865464592703,0.01345016701674956,0.00192558230321839,0.06702979489495102,kg per ha,Urban
Water Quality,pesticide application rate,Critical Pesticides,RIPARIAN,0,NA,NA,NA,kg per ha,Riparian
Water Quality,pesticide application rate,Critical Pesticides,RIPARIAN_FOREST_POFR,0,NA,NA,NA,kg per ha,Riparian - Cottonwood
Water Quality,pesticide application rate,Critical Pesticides,RIPARIAN_FOREST_QULO,0,NA,NA,NA,kg per ha,Riparian - Valley Oak
Water Quality,pesticide application rate,Critical Pesticides,RIPARIAN_FOREST_SALIX,0,NA,NA,NA,kg per ha,Riparian - Willow
Water Quality,pesticide application rate,Critical Pesticides,RIPARIAN_FOREST_MIXED,0,NA,NA,NA,kg per ha,Riparian - Mixed Forest
Water Quality,pesticide application rate,Critical Pesticides,RIPARIAN_SCRUB_INTRO,0,NA,NA,NA,kg per ha,Riparian - Introduced Scrub
Water Quality,pesticide application rate,Critical Pesticides,RIPARIAN_SCRUB_SALIX,0,NA,NA,NA,kg per ha,Riparian - Willow Shrub
Water Quality,pesticide application rate,Critical Pesticides,RIPARIAN_SCRUB_MIXED,0,NA,NA,NA,kg per ha,Riparian - Mixed Shrub
Water Quality,pesticide application rate,Critical Pesticides,WETLAND_MANAGED,0,NA,NA,NA,kg per ha,Managed Wetland
Water Quality,pesticide application rate,Critical Pesticides,WETLAND_MANAGED_PERENNIAL,0,NA,NA,NA,kg per ha,Managed Wetland - Perennial
Water Quality,pesticide application rate,Critical Pesticides,WETLAND_MANAGED_SEASONAL,0,NA,NA,NA,kg per ha,Managed Wetland - Seasonal
Water Quality,pesticide application rate,Critical Pesticides,WETLAND_TIDAL,0,NA,NA,NA,kg per ha,Tidal Wetland
Water Quality,pesticide application rate,Critical Pesticides,WETLAND_OTHER,0,NA,NA,NA,kg per ha,Other Wetland
Water Quality,pesticide application rate,Critical Pesticides,WATER,0,NA,NA,NA,kg per ha,Water
Water Quality,pesticide application rate,Critical Pesticides,WOODLAND,0,NA,NA,NA,kg per ha,Woodland
Water Quality,pesticide application rate,Critical Pesticides,SCRUB,0,NA,NA,NA,kg per ha,Scrub
Water Quality,pesticide application rate,Critical Pesticides,BARREN,0,NA,NA,NA,kg per ha,Barren
Water Quality,pesticide application rate,Groundwater Contaminant,ORCHARD_DECIDUOUS,0.10411758323200766,0.01683532250100008,0.050101870173317777,0.1517377669743232,kg per ha,Orchard - Deciduous Fruits & Nuts
Water Quality,pesticide application rate,Groundwater Contaminant,ORCHARD_CITRUS&SUBTROPICAL,0.6686037968455397,0.15587681541362863,0.30334362575023277,1.0502387709440997,kg per ha,Orchard - Citrus & Subtropical
Water Quality,pesticide application rate,Groundwater Contaminant,VINEYARD,0.3162555352208334,0.02904750357575161,0.26034524139543863,0.41940761963938383,kg per ha,Vineyard
Water Quality,pesticide application rate,Groundwater Contaminant,GRAIN&HAY_WHEAT,0,NA,NA,NA,kg per ha,Wheat
Water Quality,pesticide application rate,Groundwater Contaminant,GRAIN&HAY_OTHER,0,NA,NA,NA,kg per ha,Other Grains
Water Quality,pesticide application rate,Groundwater Contaminant,FIELD_CORN,0.03251912657849203,0.00863117814084167,0.00157834987435798,0.05483613573532664,kg per ha,Corn
Water Quality,pesticide application rate,Groundwater Contaminant,FIELD_OTHER,0.00297055653952512,0.0013047753549391499,4.092261740795477e-4,0.00468366391474841,kg per ha,Other Field Crops
Water Quality,pesticide application rate,Groundwater Contaminant,ROW,0.01114718843480912,0.00515679219638774,0.00345662941201328,0.02094385381067985,kg per ha,Row Crops
Water Quality,pesticide application rate,Groundwater Contaminant,RICE,0,NA,NA,NA,kg per ha,Rice
Water Quality,pesticide application rate,Groundwater Contaminant,IDLE,0.00596908478084429,0.00431498487596625,3.738282353050665e-4,0.01872502376045345,kg per ha,Idle
Water Quality,pesticide application rate,Groundwater Contaminant,PASTURE_ALFALFA,0.34223084476174587,0.10298241857787184,0.12045165691784596,0.7116328921182878,kg per ha,Alfalfa
Water Quality,pesticide application rate,Groundwater Contaminant,PASTURE_OTHER,0,NA,NA,NA,kg per ha,Other Pasture
Water Quality,pesticide application rate,Groundwater Contaminant,GRASSLAND,0,NA,NA,NA,kg per ha,Grassland
Water Quality,pesticide application rate,Groundwater Contaminant,URBAN,0.02555419233255759,0.01339295057390388,0.00192558230321839,0.06665748332810377,kg per ha,Urban
Water Quality,pesticide application rate,Groundwater Contaminant,RIPARIAN,0,NA,NA,NA,kg per ha,Riparian
Water Quality,pesticide application rate,Groundwater Contaminant,RIPARIAN_FOREST_POFR,0,NA,NA,NA,kg per ha,Riparian - Cottonwood
Water Quality,pesticide application rate,Groundwater Contaminant,RIPARIAN_FOREST_QULO,0,NA,NA,NA,kg per ha,Riparian - Valley Oak
Water Quality,pesticide application rate,Groundwater Contaminant,RIPARIAN_FOREST_SALIX,0,NA,NA,NA,kg per ha,Riparian - Willow
Water Quality,pesticide application rate,Groundwater Contaminant,RIPARIAN_FOREST_MIXED,0,NA,NA,NA,kg per ha,Riparian - Mixed Forest
Water Quality,pesticide application rate,Groundwater Contaminant,RIPARIAN_SCRUB_INTRO,0,NA,NA,NA,kg per ha,Riparian - Introduced Scrub
Water Quality,pesticide application rate,Groundwater Contaminant,RIPARIAN_SCRUB_SALIX,0,NA,NA,NA,kg per ha,Riparian - Willow Shrub
Water Quality,pesticide application rate,Groundwater Contaminant,RIPARIAN_SCRUB_MIXED,0,NA,NA,NA,kg per ha,Riparian - Mixed Shrub
Water Quality,pesticide application rate,Groundwater Contaminant,WETLAND_MANAGED,0,NA,NA,NA,kg per ha,Managed Wetland
Water Quality,pesticide application rate,Groundwater Contaminant,WETLAND_MANAGED_PERENNIAL,0,NA,NA,NA,kg per ha,Managed Wetland - Perennial
Water Quality,pesticide application rate,Groundwater Contaminant,WETLAND_MANAGED_SEASONAL,0,NA,NA,NA,kg per ha,Managed Wetland - Seasonal
Water Quality,pesticide application rate,Groundwater Contaminant,WETLAND_TIDAL,0,NA,NA,NA,kg per ha,Tidal Wetland
Water Quality,pesticide application rate,Groundwater Contaminant,WETLAND_OTHER,0,NA,NA,NA,kg per ha,Other Wetland
Water Quality,pesticide application rate,Groundwater Contaminant,WATER,0,NA,NA,NA,kg per ha,Water
Water Quality,pesticide application rate,Groundwater Contaminant,WOODLAND,0,NA,NA,NA,kg per ha,Woodland
Water Quality,pesticide application rate,Groundwater Contaminant,SCRUB,0,NA,NA,NA,kg per ha,Scrub
Water Quality,pesticide application rate,Groundwater Contaminant,BARREN,0,NA,NA,NA,kg per ha,Barren
Water Quality,pesticide application rate,Risk to Aquatic Organisms,ORCHARD_DECIDUOUS,6.195785736420012,0.42134886428464746,4.6771416989586285,7.011890978974636,kg per ha,Orchard - Deciduous Fruits & Nuts
Water Quality,pesticide application rate,Risk to Aquatic Organisms,ORCHARD_CITRUS&SUBTROPICAL,5.2502304853961395,0.6824221266491314,2.833145350101811,7.0010392254629155,kg per ha,Orchard - Citrus & Subtropical
Water Quality,pesticide application rate,Risk to Aquatic Organisms,VINEYARD,2.4645189647690797,0.18876230100449953,1.8026776528974584,2.910032413311415,kg per ha,Vineyard
Water Quality,pesticide application rate,Risk to Aquatic Organisms,GRAIN&HAY_WHEAT,0.01814428789442623,0.00473346097255171,0.00412471657107414,0.03316661342348636,kg per ha,Wheat
Water Quality,pesticide application rate,Risk to Aquatic Organisms,GRAIN&HAY_OTHER,0.01032660699718943,0.00607442752329436,3.4630845697333e-4,0.03240149234496624,kg per ha,Other Grains
Water Quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_CORN,0.5966863072502369,0.03704411700209074,0.49417130530867825,0.7114958690747585,kg per ha,Corn
Water Quality,pesticide application rate,Risk to Aquatic Organisms,FIELD_OTHER,1.1491388636867332,0.1623867193371374,0.7973292695971298,1.7176057013841388,kg per ha,Other Field Crops
Water Quality,pesticide application rate,Risk to Aquatic Organisms,ROW,5.973093522907556,0.4495419411672446,4.937834947885412,7.082748105304379,kg per ha,Row Crops
Water Quality,pesticide application rate,Risk to Aquatic Organisms,RICE,7.308868823226923,1.0224380070564352,4.7318067957687076,10.576409862123583,kg per ha,Rice
Water Quality,pesticide application rate,Risk to Aquatic Organisms,IDLE,0.1347430245660169,0.02503562670827413,0.07405677370616222,0.21576621347233757,kg per ha,Idle
Water Quality,pesticide application rate,Risk to Aquatic Organisms,PASTURE_ALFALFA,4.875236635103077,0.6532909739830662,2.6225735704839397,6.203474399651293,kg per ha,Alfalfa
Water Quality,pesticide application rate,Risk to Aquatic Organisms,PASTURE_OTHER,0.04024237939450009,0.00988536794319783,0.02713712286538091,0.07906546192872958,kg per ha,Other Pasture
Water Quality,pesticide application rate,Risk to Aquatic Organisms,GRASSLAND,0,NA,NA,NA,kg per ha,Grassland
Water Quality,pesticide application rate,Risk to Aquatic Organisms,URBAN,0.03901781990119692,0.01758485680496637,0.00506230030941109,0.09104940294574222,kg per ha,Urban
Water Quality,pesticide application rate,Risk to Aquatic Organisms,RIPARIAN,0,NA,NA,NA,kg per ha,Riparian
Water Quality,pesticide application rate,Risk to Aquatic Organisms,RIPARIAN_FOREST_POFR,0,NA,NA,NA,kg per ha,Riparian - Cottonwood
