scenario,ZONE,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCORE_TOTAL
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,27400
scenario1_restoration,Sacramento,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,393777.7777777778
scenario1_restoration,San Joaquin,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,113300
scenario1_restoration,Solano,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,197044.44444444444
scenario1_restoration,Yolo,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,799088.8888888889
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Geese (fall),ha,0
scenario1_restoration,Sacramento,Biodiversity Support,Waterbird habitat,Geese (fall),ha,63233.333333333336
scenario1_restoration,San Joaquin,Biodiversity Support,Waterbird habitat,Geese (fall),ha,192444.44444444444
scenario1_restoration,Solano,Biodiversity Support,Waterbird habitat,Geese (fall),ha,9033.333333333334
scenario1_restoration,Yolo,Biodiversity Support,Waterbird habitat,Geese (fall),ha,217733.33333333334
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,166200
scenario1_restoration,Sacramento,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,457444.44444444444
scenario1_restoration,San Joaquin,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,401211.1111111111
scenario1_restoration,Solano,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,419666.6666666667
scenario1_restoration,Yolo,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,925366.6666666667
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,6700
scenario2_perennialexpand,Sacramento,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,509311.1111111111
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,322500
scenario2_perennialexpand,Solano,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,370766.6666666667
scenario2_perennialexpand,Yolo,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),ha,1024266.6666666667
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,1511.111111111111
scenario2_perennialexpand,Sacramento,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,214422.22222222222
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,448111.1111111111
scenario2_perennialexpand,Solano,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,0
scenario2_perennialexpand,Yolo,Biodiversity Support,Waterbird habitat,Cranes (fall),ha,266.6666666666667
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,6888.88888888889
scenario2_perennialexpand,Sacramento,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,210244.44444444444
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,97311.11111111111
scenario2_perennialexpand,Solano,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,162266.6666666667
scenario2_perennialexpand,Yolo,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),ha,535722.2222222222
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Geese (fall),ha,0
scenario2_perennialexpand,Sacramento,Biodiversity Support,Waterbird habitat,Geese (fall),ha,72544.44444444445
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Waterbird habitat,Geese (fall),ha,269711.1111111111
scenario2_perennialexpand,Solano,Biodiversity Support,Waterbird habitat,Geese (fall),ha,13533.333333333334
scenario2_perennialexpand,Yolo,Biodiversity Support,Waterbird habitat,Geese (fall),ha,247166.6666666667
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,158366.6666666667
scenario2_perennialexpand,Sacramento,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,309877.7777777778
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,355788.8888888889
scenario2_perennialexpand,Solano,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,373155.55555555556
scenario2_perennialexpand,Yolo,Biodiversity Support,Waterbird habitat,Shorebirds (fall),ha,690755.5555555556
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,309711.1111111111
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,531800
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,2517600
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,601811.1111111111
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,741566.6666666667
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,106511.11111111111
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,333922.22222222225
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,1422966.6666666667
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,0
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,0
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,290933.3333333334
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,443822.22222222225
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,1704711.1111111112
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,203922.22222222222
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,586311.1111111111
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,113266.66666666667
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,117633.33333333334
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,435044.44444444444
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,93911.11111111111
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,377411.1111111111
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Geese (winter),ha,60788.88888888889
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Geese (winter),ha,669511.1111111111
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Geese (winter),ha,1406277.7777777778
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Geese (winter),ha,8300
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Geese (winter),ha,126777.77777777778
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,216844.44444444444
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,501033.3333333334
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,1528500
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,197644.44444444444
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,390488.8888888889
scenario1_restoration_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,405900
scenario1_restoration_win,Sacramento,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,727388.8888888889
scenario1_restoration_win,San Joaquin,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,2570455.5555555555
scenario1_restoration_win,Solano,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,631133.3333333334
scenario1_restoration_win,Yolo,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,977633.3333333334
scenario1_restoration_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,50088.88888888889
scenario1_restoration_win,Sacramento,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,290855.55555555556
scenario1_restoration_win,San Joaquin,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,1424711.1111111112
scenario1_restoration_win,Solano,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,0
scenario1_restoration_win,Yolo,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,0
scenario1_restoration_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,304844.44444444444
scenario1_restoration_win,Sacramento,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,588266.6666666667
scenario1_restoration_win,San Joaquin,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,1712211.1111111112
scenario1_restoration_win,Solano,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,225444.44444444447
scenario1_restoration_win,Yolo,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,824611.1111111111
scenario1_restoration_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,114766.66666666667
scenario1_restoration_win,Sacramento,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,140544.44444444444
scenario1_restoration_win,San Joaquin,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,431600
scenario1_restoration_win,Solano,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,112122.22222222223
scenario1_restoration_win,Yolo,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,654077.7777777778
scenario1_restoration_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Geese (winter),ha,61133.333333333336
scenario1_restoration_win,Sacramento,Biodiversity Support,Waterbird habitat,Geese (winter),ha,624744.4444444445
scenario1_restoration_win,San Joaquin,Biodiversity Support,Waterbird habitat,Geese (winter),ha,1404244.4444444445
scenario1_restoration_win,Solano,Biodiversity Support,Waterbird habitat,Geese (winter),ha,8522.222222222223
scenario1_restoration_win,Yolo,Biodiversity Support,Waterbird habitat,Geese (winter),ha,219277.77777777778
scenario1_restoration_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,211311.11111111112
scenario1_restoration_win,Sacramento,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,629288.8888888889
scenario1_restoration_win,San Joaquin,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,1534144.4444444445
scenario1_restoration_win,Solano,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,217088.8888888889
scenario1_restoration_win,Yolo,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,590755.5555555556
scenario2_perennialexpand_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,321511.1111111111
scenario2_perennialexpand_win,Sacramento,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,560966.6666666667
scenario2_perennialexpand_win,San Joaquin,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,2751166.666666667
scenario2_perennialexpand_win,Solano,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,590600
scenario2_perennialexpand_win,Yolo,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),ha,760144.4444444445
scenario2_perennialexpand_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,123488.88888888889
scenario2_perennialexpand_win,Sacramento,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,338355.55555555556
scenario2_perennialexpand_win,San Joaquin,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,1238600
scenario2_perennialexpand_win,Solano,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,0
scenario2_perennialexpand_win,Yolo,Biodiversity Support,Waterbird habitat,Cranes (winter),ha,0
scenario2_perennialexpand_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,295844.44444444444
scenario2_perennialexpand_win,Sacramento,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,440044.44444444444
scenario2_perennialexpand_win,San Joaquin,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,1623200
scenario2_perennialexpand_win,Solano,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,201066.6666666667
scenario2_perennialexpand_win,Yolo,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),ha,581477.7777777778
scenario2_perennialexpand_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,115155.55555555556
scenario2_perennialexpand_win,Sacramento,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,120600
scenario2_perennialexpand_win,San Joaquin,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,421577.7777777778
scenario2_perennialexpand_win,Solano,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,93855.55555555556
scenario2_perennialexpand_win,Yolo,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),ha,382444.44444444444
scenario2_perennialexpand_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Geese (winter),ha,110422.22222222223
scenario2_perennialexpand_win,Sacramento,Biodiversity Support,Waterbird habitat,Geese (winter),ha,660822.2222222222
scenario2_perennialexpand_win,San Joaquin,Biodiversity Support,Waterbird habitat,Geese (winter),ha,1610366.6666666667
scenario2_perennialexpand_win,Solano,Biodiversity Support,Waterbird habitat,Geese (winter),ha,9355.555555555557
scenario2_perennialexpand_win,Yolo,Biodiversity Support,Waterbird habitat,Geese (winter),ha,234011.11111111112
scenario2_perennialexpand_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,274877.7777777778
scenario2_perennialexpand_win,Sacramento,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,491688.88888888893
scenario2_perennialexpand_win,San Joaquin,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,1426855.5555555555
scenario2_perennialexpand_win,Solano,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,203011.11111111112
scenario2_perennialexpand_win,Yolo,Biodiversity Support,Waterbird habitat,Shorebirds (winter),ha,412388.8888888889
baseline,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Total,ha,4868533.333333334
baseline,Sacramento,Biodiversity Support,Riparian landbird habitat,Total,ha,4435866.666666667
baseline,San Joaquin,Biodiversity Support,Riparian landbird habitat,Total,ha,13249911.111111112
baseline,Solano,Biodiversity Support,Riparian landbird habitat,Total,ha,3352955.5555555555
baseline,Yolo,Biodiversity Support,Riparian landbird habitat,Total,ha,2195211.111111111
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Total,ha,4872233.333333334
scenario1_restoration,Sacramento,Biodiversity Support,Riparian landbird habitat,Total,ha,4539733.333333334
scenario1_restoration,San Joaquin,Biodiversity Support,Riparian landbird habitat,Total,ha,13468077.777777778
scenario1_restoration,Solano,Biodiversity Support,Riparian landbird habitat,Total,ha,3500833.3333333335
scenario1_restoration,Yolo,Biodiversity Support,Riparian landbird habitat,Total,ha,2474344.4444444445
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Total,ha,4868811.111111111
scenario2_perennialexpand,Sacramento,Biodiversity Support,Riparian landbird habitat,Total,ha,4137344.4444444445
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Riparian landbird habitat,Total,ha,13131800
scenario2_perennialexpand,Solano,Biodiversity Support,Riparian landbird habitat,Total,ha,3315855.5555555555
scenario2_perennialexpand,Yolo,Biodiversity Support,Riparian landbird habitat,Total,ha,2086833.3333333335
baseline,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Total (fall),ha,161711.11111111112
baseline,Sacramento,Biodiversity Support,Waterbird habitat,Total (fall),ha,614333.3333333334
baseline,San Joaquin,Biodiversity Support,Waterbird habitat,Total (fall),ha,650322.2222222222
baseline,Solano,Biodiversity Support,Waterbird habitat,Total (fall),ha,572800
baseline,Yolo,Biodiversity Support,Waterbird habitat,Total (fall),ha,1095633.3333333335
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Total (fall),ha,208255.55555555556
scenario1_restoration,Sacramento,Biodiversity Support,Waterbird habitat,Total (fall),ha,772000
scenario1_restoration,San Joaquin,Biodiversity Support,Waterbird habitat,Total (fall),ha,647100
scenario1_restoration,Solano,Biodiversity Support,Waterbird habitat,Total (fall),ha,726122.2222222222
scenario1_restoration,Yolo,Biodiversity Support,Waterbird habitat,Total (fall),ha,1221244.4444444445
scenario2_perennialexpand,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Total (fall),ha,164100
scenario2_perennialexpand,Sacramento,Biodiversity Support,Waterbird habitat,Total (fall),ha,617955.5555555556
scenario2_perennialexpand,San Joaquin,Biodiversity Support,Waterbird habitat,Total (fall),ha,626211.1111111111
scenario2_perennialexpand,Solano,Biodiversity Support,Waterbird habitat,Total (fall),ha,553488.8888888889
scenario2_perennialexpand,Yolo,Biodiversity Support,Waterbird habitat,Total (fall),ha,1027833.3333333334
baseline_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Total (winter),ha,486655.55555555556
baseline_win,Sacramento,Biodiversity Support,Waterbird habitat,Total (winter),ha,1066577.7777777778
baseline_win,San Joaquin,Biodiversity Support,Waterbird habitat,Total (winter),ha,3837877.777777778
baseline_win,Solano,Biodiversity Support,Waterbird habitat,Total (winter),ha,691322.2222222222
baseline_win,Yolo,Biodiversity Support,Waterbird habitat,Total (winter),ha,782133.3333333334
scenario1_restoration_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Total (winter),ha,527011.1111111111
scenario1_restoration_win,Sacramento,Biodiversity Support,Waterbird habitat,Total (winter),ha,1194666.6666666667
scenario1_restoration_win,San Joaquin,Biodiversity Support,Waterbird habitat,Total (winter),ha,3877644.4444444445
scenario1_restoration_win,Solano,Biodiversity Support,Waterbird habitat,Total (winter),ha,721888.8888888889
scenario1_restoration_win,Yolo,Biodiversity Support,Waterbird habitat,Total (winter),ha,1017977.7777777779
scenario2_perennialexpand_win,Contra Costa & Alameda,Biodiversity Support,Waterbird habitat,Total (winter),ha,510100
scenario2_perennialexpand_win,Sacramento,Biodiversity Support,Waterbird habitat,Total (winter),ha,1044988.8888888889
scenario2_perennialexpand_win,San Joaquin,Biodiversity Support,Waterbird habitat,Total (winter),ha,3681988.888888889
scenario2_perennialexpand_win,Solano,Biodiversity Support,Waterbird habitat,Total (winter),ha,675144.4444444445
scenario2_perennialexpand_win,Yolo,Biodiversity Support,Waterbird habitat,Total (winter),ha,799622.2222222222
